Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Pack X6 Atún Fanny Trozos En Aceite Vegetal 140 G,,41.4,2024-12-04 02:14:48.975718,g,140.0,Fanny
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio Bolsa 5 kg,,22.9,2024-12-04 02:14:48.975718,kg,5.0,Cartavio
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Carne Vaso 51g,,3.8,2024-12-04 02:14:48.975718,g,51.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Ketchup A La Cena Doy Pack 380 G,,10.2,2024-12-04 02:14:48.975718,g,380.0,A La Cena
Pedidos Ya Lince,Abarrotes,Fanny Doypack Mermelada 700 g,,10.9,2024-12-04 02:14:48.975718,g,700.0,Fanny
Pedidos Ya Lince,Abarrotes,Cocktail De Frutas Fanny 820Gr,,20.9,2024-12-04 02:14:48.975718,g,820.0,Fanny
Pedidos Ya Lince,Abarrotes,Ajo Molido Piki Doypack 120G,,4.1,2024-12-04 02:14:48.975718,g,120.0,Piki
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Pollo 51g,Contiene 51 gramos.Sopa instantánea con fideos.Sabor: Pollor.Lista en 3 minutos,3.8,2024-12-04 02:14:48.975718,g,51.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Mermelada De Fresa Deli Fanny Doypack 700 Gr,,8.9,2024-12-04 02:14:48.975718,g,700.0,Fanny
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa 950 g,,15.9,2024-12-04 02:14:48.975718,g,950.0,Fanny
Pedidos Ya Lince,Abarrotes,Bonle Manjarblanco Sachet X 200 Gr,,5.5,2024-12-04 02:14:48.975718,g,200.0,Bonlé
Pedidos Ya Lince,Abarrotes,Vinagre Florida Blanco 1 lt,,5.5,2024-12-04 02:14:48.975718,l,1.0,Florida
Pedidos Ya Lince,Abarrotes,Tallarin Instantáneo Saltado Ajinomen Sobre 100 g,,2.2,2024-12-04 02:14:48.975718,g,100.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Gelatina De Fresa Royal Sobre 160 Gr,,4.9,2024-12-04 02:14:48.975718,g,160.0,Royal
Pedidos Ya Lince,Abarrotes,Granola con Pasas y Almendras Unión Doypack 400 g,,16.8,2024-12-04 02:14:48.975718,g,400.0,Union
Pedidos Ya Lince,Abarrotes,Café Instantáneo Altomayo Clásico Doy Pack 45 G,,6.5,2024-12-04 02:14:48.975718,g,45.0,Altomayo
Pedidos Ya Lince,Abarrotes,Granola con Granos Andinos Unión Doypack 280 g,,15.9,2024-12-04 02:14:48.975718,g,300.0,Union
Pedidos Ya Lince,Abarrotes,Canela Entera Sibarita Sobre 10 g,,3.3,2024-12-04 02:14:48.975718,g,10.0,Sibarita
Pedidos Ya Lince,Abarrotes,Arroz Valle Norte Superior Bolsa 750 g,,4.5,2024-12-04 02:14:48.975718,g,750.0,Valle Norte
Pedidos Ya Lince,Abarrotes,Mezcla Para Apanar Aji-No-Mix Apanado 96 Gr,,3.5,2024-12-04 02:14:48.975718,g,96.0,Aji-No-Men
Pedidos Ya Lince,Abarrotes,Café Nescafé Fina Selección Frasco 200G,,32.9,2024-12-04 02:14:48.975718,g,200.0,Nescafe
Pedidos Ya Lince,Abarrotes,Café Tostado Molido Altomayo Clásico 450 Gr,,27.9,2024-12-04 02:14:48.975718,g,500.0,Altomayo
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Linguini Grosso Don Vittorio 950 g,,15.8,2024-12-04 02:14:48.975718,g,950.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Florida Trozos De Atún Aceite Vegetal 140G,Contiene 150 gramos.Trozos de atún en aceite vegetal,7.2,2024-12-04 02:14:48.975718,g,140.0,Florida
Pedidos Ya Lince,Abarrotes,Crema Huancaina Alacena 400 G,,14.5,2024-12-04 02:14:48.975718,g,400.0,A La Cena
Pedidos Ya Lince,Abarrotes,Manjarblanco Bonlé 250Gr,,7.5,2024-12-04 02:14:48.975718,g,250.0,Bonlé
Pedidos Ya Lince,Abarrotes,Bonle Manjar blanco X 500 Gr,,12.9,2024-12-04 02:14:48.975718,g,500.0,Bonlé
