description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
lom salt c/p y arrz,S/ 12.9 und,Oxxo,2024-12-04 13:49:36.260703,1.0,und,lom salt c p y arrz,12.9
nissin sopa instantánea,S/ 5.9 und,Oxxo,2024-12-04 13:49:36.260703,71.0,gr,nissin sopa instantánea,5.9
pizza hawaiana grande refrigerada,S/ 16.9 und,Oxxo,2024-12-04 13:49:36.260703,1.0,und,pizza hawaiana grande refrigerada,16.9
tall verd c/mil poll,S/ 12.9 und,Oxxo,2024-12-04 13:49:36.260703,1.0,und,tall verd c mil poll,12.9
pizza pepperoni rrefrigerada grande e/v,S/ 17.9 und,Oxxo,2024-12-04 13:49:36.260703,1.0,und,pizza pepperoni rrefrigerada grande e v,17.9
bimbo pan blanco ,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.267826,480.0,gr,bimbo pan blanco,8.9
unión tostadas integrales clásicas 150 g,S/ 6.5 und,Oxxo,2024-12-04 13:49:36.267826,150.0,gr,unión tostadas integrales clásicas,6.5
vital pan avena girasol con masa madre,S/ 10.5 und,Oxxo,2024-12-04 13:49:36.267826,360.0,gr,vital pan avena girasol con masa madre,10.5
bimbo pan de molde integral,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.267826,480.0,gr,bimbo pan de molde integral,8.9
el cedro pan árabe integral con salvado de trigo,S/ 7.1 und,Oxxo,2024-12-04 13:49:36.267826,250.0,gr,el cedro pan árabe integral con salvado de trigo,7.1
bimbo tortillas rapiditas clásicas,S/ 10.8 und,Oxxo,2024-12-04 13:49:36.267826,310.0,gr,bimbo tortillas rapiditas clásicas,10.8
unión palitos con ajonjolí y linaza,S/ 2.4 und,Oxxo,2024-12-04 13:49:36.267826,65.0,gr,unión palitos con ajonjolí y linaza,2.4
bimbo tostadas clasicas,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.267826,128.0,gr,bimbo tostadas clasicas,7.5
unión tostadas blancas clásicas ,S/ 6.5 und,Oxxo,2024-12-04 13:49:36.267826,150.0,gr,unión tostadas blancas clásicas,6.5
bimbo tostadas integrales,S/ 7.5 und,Oxxo,2024-12-04 13:49:36.267826,144.0,gr,bimbo tostadas integrales,7.5
unión pan americano sándwich bolsa,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.267826,460.0,gr,unión pan americano sándwich,8.9
gloria panetón con pasas y fruta confitada,S/ 24.9 und,Oxxo,2024-12-04 13:49:36.267826,900.0,gr,gloria panetón con pasas y fruta confitada,24.9
